run,iteration,uc_set,uc_feedback,online_score,shot1,shot2,shot3,median3,mean3,cv3
长预算2,27,555.0,559.2185592185592,35.2866,30.336,35.2033,35.3699,35.2033,33.6364,8.501040030410772
长预算2,5,561.0,564.7130647130647,34.70165,34.7136,34.5096,34.6897,34.6897,34.63763333333333,0.3219683312997398
长预算2,60,564.0,567.7655677655678,35.48765,35.3458,34.5149,35.6295,35.3458,35.163399999999996,1.6473218087860575
长预算2,44,567.0,570.8180708180709,34.902649999999994,34.9113,34.894,95.5466,34.9113,55.1173,63.52416015611115
长预算2,6,572.0,575.7020757020757,42.855000000000004,41.5025,90.8262,44.2075,44.2075,58.845400000000005,47.12210161321123
长预算2,49,576.0,579.97557997558,94.41565,47.7896,93.6882,95.1431,93.6882,78.87363333333333,34.14244857700652
长预算2,20,581.0,584.8595848595849,45.274699999999996,44.9145,45.6349,35.0444,44.9145,41.864599999999996,14.134709243513905
长预算2,37,586.0,589.7435897435897,43.62605,34.8547,43.6492,43.6029,43.6029,40.70226666666667,12.442044661335423
长预算2,9,591.0,595.2380952380952,35.656099999999995,35.8671,34.7349,35.4451,35.4451,35.34903333333333,1.6186602528316
长预算2,55,595.0,598.9010989010989,36.105999999999995,33.2303,35.9278,36.2842,35.9278,35.14743333333333,4.750907275987592
长预算2,30,598.0,601.953601953602,36.534549999999996,36.6106,36.5437,36.5254,36.5437,36.5599,0.12267744852159873
长预算2,14,604.0,608.0586080586081,36.991600000000005,32.5901,36.9326,37.0506,36.9326,35.524433333333334,7.15533448319696
长预算2,50,608.0,611.7216117216117,32.11695,31.9072,32.3267,36.2563,32.3267,33.49673333333334,7.162016970961084
长预算2,25,612.0,616.6056166056167,36.9399,30.4452,37.0722,36.8076,36.8076,34.775000000000006,10.789503999016842
长预算2,47,616.0,620.2686202686202,31.418100000000003,32.0473,30.7889,33.6582,32.0473,32.16480000000001,4.471516246866908
长预算2,4,620.0,623.9316239316239,31.8338,31.6919,31.3531,31.9757,31.6919,31.67356666666667,0.9841159614887993
长预算2,34,625.0,629.4261294261295,32.122699999999995,32.5362,32.1324,32.113,32.1324,32.260533333333335,0.7406303938836852
长预算2,18,630.0,634.3101343101343,32.66935,32.6496,32.6891,31.9961,32.6496,32.44493333333333,1.1995786601487768
长预算2,38,635.0,639.8046398046398,32.3917,32.3826,32.4008,36.9822,32.4008,33.921866666666666,7.813078387803755
长预算2,10,640.0,644.6886446886447,32.57005,32.1087,32.4703,32.6698,32.4703,32.41626666666667,0.8774167180216739
长预算2,57,643.0,647.7411477411478,31.869500000000002,31.4095,31.8098,31.9292,31.8098,31.71616666666667,0.8582639314053963
长预算2,39,646.0,650.7936507936508,32.391400000000004,32.2023,32.5805,33.2028,32.5805,32.66186666666667,1.5467228113972795
长预算2,19,651.0,655.6776556776557,32.4481,32.4827,32.4135,32.686,32.4827,32.5274,0.43545630343753555
长预算2,48,655.0,659.3406593406594,33.055,33.476,33.1782,32.9318,33.1782,33.19533333333334,0.8209113619291732
长预算2,12,660.0,664.8351648351648,33.328450000000004,34.3998,33.1706,33.4863,33.4863,33.685566666666666,1.895078377606897
长预算2,58,663.0,667.2771672771672,33.377750000000006,33.2488,33.5067,32.9075,33.2488,33.221000000000004,0.9047463446285446
长预算2,26,667.0,671.5506715506715,34.1396,34.0236,33.5029,34.2556,34.0236,33.927366666666664,1.1361542001148706
长预算2,8,674.0,678.8766788766789,33.606700000000004,34.5262,33.4715,33.7419,33.7419,33.9132,1.615356621046039
长预算2,56,677.0,681.3186813186813,33.6383,34.0011,33.6455,33.6311,33.6455,33.759233333333334,0.620826854262109
长预算2,28,681.0,685.5921855921856,34.30655,34.2887,33.4827,34.3244,34.2887,34.031933333333335,1.3986417713341934
长预算2,45,685.0,689.8656898656899,34.501549999999995,34.5661,34.437,34.7475,34.5661,34.58353333333333,0.4510307838712959
长预算2,7,689.0,693.5286935286936,34.741299999999995,34.7119,34.7363,34.7463,34.7363,34.731500000000004,0.05094855416113581
长预算2,35,695.0,699.6336996336996,34.74845,34.7491,34.7478,34.473,34.7478,34.65663333333333,0.4588802913121941
长预算2,15,701.0,705.7387057387058,34.650400000000005,35.0137,34.7421,34.5587,34.7421,34.771499999999996,0.6583562270483977
长预算2,40,706.0,710.6227106227107,35.390100000000004,35.3008,35.1,35.4794,35.3008,35.2934,0.5378008891184329
长预算2,24,711.0,715.5067155067155,35.14075,35.0967,35.1848,34.6418,35.0967,34.97443333333333,0.8332298087203782
长预算2,46,716.0,720.3907203907204,35.771249999999995,35.6119,35.9306,34.7151,35.6119,35.4192,1.779390860109899
长预算2,59,719.0,723.4432234432235,36.4701,35.1862,36.1433,36.7969,36.1433,36.04213333333333,2.2476517075722056
长预算2,13,722.0,726.4957264957264,36.1138,36.0319,36.639,36.1957,36.1957,36.28886666666667,0.8655275858765139
长预算2,36,728.0,732.6007326007326,35.44025,36.9888,35.7483,35.1322,35.7483,35.95643333333333,2.629953890520946
长预算2,11,735.0,739.3162393162393,35.9552,36.9049,35.8304,36.08,36.08,36.271766666666664,1.550332537046942
长预算2,29,742.0,746.6422466422466,36.29625,35.7567,36.2671,36.3254,36.2671,36.1164,0.8662830311720269
长预算2,54,746.0,750.3052503052503,36.67895,36.74,36.6179,36.2778,36.6179,36.545233333333336,0.6553938881632199
长预算2,16,750.0,754.5787545787546,35.799350000000004,36.4289,35.7033,35.8954,35.8954,36.0092,1.0440323468173434
